Boost ID,Platform,Brand,Content,Episode,Start,End,Total Budget,Total Spent,Delivered Views,CPM,Proj Views,Proj CPM,Fanatics?,Segment?,Curation/Integration?,WHG?,Standard?,Month
31,FB,MLB the Show,BD Arch,FBR,3/17,3/20,"$1,000","$1,000.00","379,960",$2.63,"285,714",$3.50,,,,,Y,3
32,IG,MLB the Show,BD Arch,IGR,3/17,3/20,$0,,,,0,$3.00,,,,,Y,3
33,TT,MLB the Show,BD Arch,TT,3/17,3/21,"$1,000","$1,000.00","300,000",$3.33,"400,000",$2.50,,,,,Y,3
34,FB,MLB the Show,BD Arch,FBR,3/17,3/21,"$1,250","$1,000.00","379,960",$2.63,"357,143",$3.50,,,,,Y,3
35,IG,MLB the Show,BD Arch,IGR,3/17,3/21,$0,,,,0,$3,,,,,Y,3
36,FB,MLB the Show,BT Segment,FBR,3/18,3/21,$600,$593.05,"144,228",$4.11,"171,429",$3.50,,Y,,,,3
37,FB,MLB the Show,BT Segment,FBR,3/18,3/21,$600,$593.89,"121,354",$4.89,"171,429",$3.50,,Y,,,,3
38,FB,MLB the Show,TB Segment,FBR,3/18,3/21,$300,$299.48,"97,336",$3.08,"85,714",$3.50,,Y,,,,3
39,IG,MLB the Show,TB Segment,IGR,3/18,3/21,$300,$300,"75,600",$3.97,"100,000",$3,,Y,,,,3
40,FB,MLB the Show,TB Segment,FBR,3/18,3/21,$300,$233.02,"148,299",$1.57,"85,714",$3.50,,Y,,,,3
41,IG,MLB the Show,TB Segment,IGR,3/18,3/21,$300,$216.36,"37,436",$5.78,"100,000",$3,,Y,,,,3
42,FB,MLB the Show,TY Segment,FBR,3/18,3/22,$300,,,,"85,714",$3.50,,Y,,,,3
43,IG,MLB the Show,TY Segment,IG,3/18,3/22,$300,,,,"100,000",$3,,Y,,,,3
44,FB,MLB the Show,TY Segment,FBR,3/18,3/22,$300,,,,"85,714",$3.50,,Y,,,,3
45,IG,MLB the Show,TY Segment,IG,3/18,3/22,$300,,,,"100,000",$3,,Y,,,,3
46,FB,WHG,WHG,CL SB 3,3/19,3/23,$500,$499.99,"130,819",$3.82,,,,,,Y,,3
47,FB,WHG,WHG,CL SB 4,3/19,3/23,$500,$499.99,"115,738",$4.32,,,,,,Y,,3
48,FB,Amazon,This or That 4,FBR,3/23,3/24,"$3,000","$2,465.15","202,572",$12.17,"857,143",$3.50,,,Y,,,3
49,FB,Amazon,This or That 5,FBR,3/23,3/24,"$2,000","$1,643.39","158,345",$10.38,"571,429",$3.50,,,Y,,,3
50,FB,WHG,WHG,CL SB 1,3/20,3/25,$500,$499.97,"122,107",$4.09,,,,,,Y,,3
51,FB,Amazon,This or That 4,FBR,3/24,3/26,"$1,000",$607.24,"110,064",$5.52,"285,714",$3.50,,,Y,,,3
52,FB,Amazon,This or That 5,FBR,3/24,3/26,"$1,000",$600.74,"114,930",$5.23,"285,714",$3.50,,,Y,,,3
53,FB,NBC,Division Storylines 1,FBR,3/24,3/27,$600,$599.73,"93,645",$6.40,"171,429",$3.50,,,Y,,,3
54,FB,NBC,Division Storylines 2,FBR,3/24,3/27,$600,$600.00,"134,161",$4.47,"171,429",$3.50,,,Y,,,3
55,FB,NBC,Division Storylines 3,FBR,3/24,3/27,$600,$600.00,"136,898",$4.38,"171,429",$3.50,,,Y,,,3
56,FB,NBC,NL CY Young,FBR,3/24,3/27,"$1,050",$531.46,"43,720",$12.16,"300,000",$3.50,,,Y,,,3
57,FB,WHG,WHG,CL SB 2,3/24,3/29,$500,$499.98,"114,518",$4.37,,,,,,Y,,3
58,IG,Apple TV,Friday Night Baseball 1,IG,3/27,3/29,"$1,500","$1,497.08","264,241",$5.67,"428,571",$3.50,,,Y,,,3
59,FB,Apple TV,Friday Night Baseball 1,FB,3/27,3/29,"$1,500","$1,497.08","264,241",$5.67,"428,571",$3.50,,,Y,,,3
60,TT,NBC,NL MVP,TT,3/26,3/31,"$1,010","$1,010.00","202,500",$4.99,"404,000",$2.50,,,Y,,,3
61,TW,MLB The Show,Archive - Judge Ejection,TW,3/27,3/31,"$1,000",$931.88,"1,983,089",$0.47,"666,667",$1.50,,,,,Y,3
62,FB,NBC,Division Storylines 4,FB,3/27,3/31,$800,$797.64,"167,829",$4.75,"228,571",$3.50,,,Y,,,3
63,FB,NBC,Division Storylines 5,FB,3/27,3/31,$800,$798.85,"160,347",$4.98,"228,571",$3.50,,,Y,,,3
64,FB,NBC,Division Storylines 6,FB,3/27,3/31,$800,$798.20,"129,612",$6.16,"228,571",$3.50,,,Y,,,3
65,FB,NBC,NL CY Young,FB,3/27,3/31,$800,$501.53,"35,702",$14.05,"228,571",$3.50,,,Y,,,3
66,FB,NBC,Opening Day Moments,FB,3/27,3/31,$800,$776.89,"172,784",$4.50,"228,571",$3.50,,,Y,,,3
67,TW,MLB The Show,Archive - Fan Steals Ball,TW,3/31,4/2,$200,$20.78,"167,374",$0.12,"133,333",$1.50,,,,,Y,3
68,TW,MLB The Show,Talkin' Baseball Segment Clip 1,TW,3/31,4/2,$200,$47.28,"353,056",$0.13,"133,333",$1.50,,Y,,,,3
69,TW,MLB The Show,Talkin' Baseball Segment Clip 2,TW,3/31,4/2,$200,$80.32,"539,305",$0.15,"133,333",$1.50,,Y,,,,3
70,TW,MLB The Show,Talkin' Baseball Segment Clip 3,TW,3/31,4/2,$200,$79.61,"554,433",$0.14,"133,333",$1.50,,Y,,,,3
71,TW,MLB The Show,Talkin' Yanks Segment Clip 1,TW,3/31,4/2,$200,$74.92,"746,579",$0.10,"133,333",$1.50,,Y,,,,3
72,TW,MLB The Show,Talkin' Yanks Segment Clip 2,TW,4/1,4/2,$20,$22.86,"168,316",$0.14,"13,333",$1.50,,Y,,,,4
73,TW,MLB The Show,Talkin' Yanks Segment Clip 3,TW,4/1,4/2,$20,$24.30,"147,958",$0.16,"13,333",$1.50,,Y,,,,4
74,FB,Propfinder,Livestream Clip 1,FB Link,3/30,4/3,$500,$247.96,77198,$3.21,"142,857",$3.50,,,,,Y,3
75,FB,Propfinder,Livestream Clip 2,FB Link,3/30,4/3,$500,$255.90,155506,$1.65,"142,857",$3.50,,,,,Y,3
76,FB,Propfinder,Livestream Clip 3,FB Link,3/30,4/3,$500,$283.57,87265,$3.25,"142,857",$3.50,,,,,Y,3
77,TT,NBC,NL CY Young,TT,3/30,4/3,$525,$365.85,"66,657",$5.49,"210,000",$2.50,,,Y,,,3
78,TT,NBC,Opening Day Moments,TT,3/30,4/3,$992,$689.75,"126,955",$5.43,"396,800",$2.50,,,Y,,,3
79,FB,NBC,NL MVP,FB,3/30,4/3,"$1,000",$478.76,"123,300",$3.88,"285,714",$3.50,,,Y,,,3
80,TW,MLB The Show,Custom Social,X,4/3,4/5,$60,$150.00,"211,243",$0.71,"40,000",$1.50,,,Y,,,4
81,FB,WHG,WHG,CL SB 5,4/1,4/6,$500,$499.55,"110,552",$4.52,,,,,,Y,,4
82,FB,WHG,WHG,CL SB 6,4/1,4/6,$500,$499.99,"109,169",$4.58,,,,,,Y,,4
83,FB,WHG,WHG,CL SB 7,4/1,4/6,$500,$499.82,"134,636",$3.71,,,,,,Y,,4
